language,English,German,French,Spanish,Ukranian,Russian,Japanese,Chinese,Korean
ghost_info_Raiju,"A Raiju is the companion of Raijin, the Shinto god of lightning. The spirit is generally calm and harmless, but during thunderstorms it becomes restless and jumps around in trees, fields and even buildings. Its cry sounds like thunder.","Ein Raiju ist der Begleiter von Raijin, dem Shinto-Gott der Blitze. Der Geist ist im Allgemeinen ruhig und harmlos, aber bei Gewitter wird er unruhig und springt in Bäumen, Feldern und sogar Gebäuden herum. Sein Schrei klingt wie Donner.","Un Raiju est le compagnon de Raijin, le dieu shinto de la foudre. L'esprit est généralement calme et inoffensif, mais devient agité pendant les orages, sautant dans les arbres, les champs et même les bâtiments. Son cri ressemble à du tonnerre.","Un Raiju es el compañero de Raijin, el dios Shinto de los relámpagos. El espíritu es generalmente tranquilo e inofensivo, pero durante las tormentas se vuelve inquieto y salta en árboles, campos e incluso edificios. Su grito suena como el trueno.","Райдзю є супутником Райдзіна, шинтоїстського бога блискавок. Дух зазвичай спокійний і нешкідливий, але під час грози він стає неспокійним і стрибає по деревах, полях та навіть будівлях. Його крик звучить як грім.","Райдзю является спутником Райдзина, шинтоистского бога молний. Этот дух обычно спокойный и безвредный, но во время грозы он становится неспокойным и прыгает по деревьям, полям и даже зданиям. Его крик звучит как гром.",雷獣は雷神、神道の雷の神の伴侶です。この精霊は通常は穏やかで無害ですが、雷雨の時には落ち着かなくなり、木、野原、そして建物を跳び回ります。その叫び声は雷のように響きます。,Raiju 是 Raijin 的伴侣，Raijin 是神道教的雷神。这个精灵通常是平静和无害的，但在暴风雨时，它会变得不安，并在树木、田野甚至建筑物中跳跃。它的尖叫声听起来像雷声。,"라이주는 신도 신 라이진, 번개의 신의 동반자입니다. 이 영혼은 일반적으로 차분하고 해가 없지만 폭풍우가 칠 때는 불안해하며 나무, 들판, 심지어 건물 위에서 뛰어다닙니다. 그의 비명 소리는 천둥과 같습니다."
ghost_info_Shade,A Shade is the spirit of a dead person who lives in the underworld. Some believe that a Shade is a shy spirit.,"Ein Shade ist der Geist eines Toten, der in der Unterwelt lebt. Manche glauben, dass ein Shade ein schüchterner Geist ist.",Un Shade est l'esprit d'un mort qui vit dans le monde souterrain. Certains croient qu'un Shade est un esprit timide.,Un Shade es el espíritu de un muerto que vive en el inframundo. Algunos creen que un Shade es un espíritu tímido.,"Шейд - це дух померлого, який живе в підземному світі. Деякі вірять, що шейд - це сором'язливий дух.","Шейд - это дух умершего, живущий в загробном мире. Некоторые считают, что шейд - это застенчивый призрак.",シェードは冥界に住む死者の精神です。ある人々はシェードが内気な霊であると信じています。,一个Shade是一个死者的灵魂，居住在阴间。有些人认为Shade是一个害羞的鬼魂。,쉐이드는 저승에서 사는 죽은 자의 영혼입니다. 어떤 사람들은 쉐이드가 수줍은 영혼이라고 믿습니다.
ghost_info_Spirit,A Spirit is a common ghost. They are passive and only attack when they have to.,"Ein Spirit ist ein gewöhnlicher Geist. Sie sind passiv und greifen nur an, wenn sie es müssen.",Un esprit est un fantôme ordinaire. Ils sont passifs et n'attaquent que lorsqu'ils en ont besoin.,Un espíritu es un fantasma común. Son pasivos y solo atacan cuando es necesario.,"Спірит - це звичайний дух. Вони пасивні і атакують, лише коли це необхідно.",Дух - это обычный призрак. Они пассивны и атакуют только в случае необходимости.,スピリットは普通の幽霊です。彼らは受動的で、必要があるときにのみ攻撃します。,一个精灵是一个普通的鬼魂。它们是被动的，只有在必要时才会攻击。,스피릿은 보통의 영혼입니다. 그들은 수동적이며 필요할 때만 공격합니다.
ghost_info_Yokai,A Yokai is a spirit of Japanese folklore and similar to demons. Yokai often live near human settlements because they are attracted to people or the warmth of human houses through fire.,"Ein Yokai ist ein Geist der japanischen Folklore und ähnelt den Dämonen. Yokai leben oft in der Nähe menschlicher Siedlungen, weil sie von Menschen oder der Wärme der menschlichen Häuser durch Feuer angezogen werden.",Un yokai est un esprit du folklore japonais et ressemble aux démons. Les yokai vivent souvent près des établissements humains parce qu'ils sont attirés par les humains ou la chaleur des maisons humaines par le feu.,"Un Yokai es un espíritu del folclore japonés y se parece a los demonios. Los Yokai a menudo viven cerca de los asentamientos humanos, porque son atraídos por las personas o el calor de las casas humanas a través del fuego.","Йокай - це дух японської фольклору та схожий на демонів. Йокаї часто живуть поблизу людських поселень, оскільки їх приваблюють люди або тепло людських домівок від вогню.","Ёкай — это дух японского фольклора, похожий на демонов. Ёкаи часто живут рядом с человеческими поселениями, потому что их привлекают люди или тепло человеческих домов от огня.",妖怪は日本の民間伝承の霊で、悪魔に似ています。妖怪は人間の集落の近くに住んでいることが多いです。それは人間や人間の家の火の温もりに引かれるからです。,妖怪是日本民间传说中的一种精神，类似于恶魔。妖怪经常生活在人类聚居地附近，因为它们被人类或人类住房中的火焰的热量所吸引。,"요괴는 일본 민속지의 정령으로, 악마와 비슷합니다. 요괴는 종종 인간의 정착지 근처에서 살며, 인간이나 인간의 집에서 나오는 불의 온기에 이끌립니다."
ghost_info_Yurei,"A Yurei is a Japanese spirit. They are unable to live peacefully after death because of specific events. This may be the result of, for example, the lack of a proper funeral.","Ein Yurei ist ein japanischer Geist. Sie sind aufgrund bestimmter Ereignisse nicht in der Lage, nach dem Tod in Frieden zu leben. Dies kann zum Beispiel durch das Fehlen einer angemessenen Beerdigung verursacht werden.","Un Yurei est un esprit japonais. Ils ne sont pas capables de vivre en paix après la mort en raison de certains événements. Cela peut être causé, par exemple, par l'absence de funérailles appropriées.","Un Yurei es un espíritu japonés. No pueden vivir en paz después de la muerte debido a ciertos eventos. Esto puede ser causado, por ejemplo, por la falta de un funeral adecuado.","Юрей - це японський привид. Вони не можуть жити в мирі після смерті через певні події. Наприклад, це може бути спричинено відсутністю належного поховання.","Юрэй - это японский дух. Они не могут жить в мире после смерти из-за определенных событий. Это может быть, например, вызвано отсутствием надлежащих похорон.",ユーレイは日本の幽霊です。彼らは特定の出来事のために死後に平和に生きることができません。これは例えば適切な葬儀が欠如していることによって引き起こされる可能性があります。,幽灵是一种日本的鬼魂。由于特定事件，它们在死后无法安息。例如，这可能是由于缺乏适当的葬礼造成的。,"유레이는 일본의 귀신입니다. 특정 사건으로 인해 죽음 후에 평화롭게 살 수 없습니다. 예를 들어, 적절한 장례식이 없는 경우가 이에 해당될 수 있습니다."
guide_name_0,Ghosts,Geister,fantômes,fantasmas,привиди,призраки,幽霊,鬼魂,유령들
guide_info_0,"A ghost can have different forms, there are different types of ghosts. Depending on which ghost you meet, they can have different characteristics, strengths and weaknesses.

They move around the house, there are certain places where they are reported to stay longer. A kind of hotspot of activity.

As they roam, they leave behind different kinds of evidence that can be useful for the indendification of the respective spirits.","Ein Geist kann verschiedene Formen annehmen, es gibt verschiedene Arten von Geistern. Je nachdem, welchem Geist du begegnest, können sie unterschiedliche Eigenschaften, Stärken und Schwächen haben.

Sie bewegen sich im Haus herum, es gibt bestimmte Orte, an denen sie länger verweilen. Eine Art Hotspot der Aktivität.

Während sie umherziehen, hinterlassen sie verschiedene Arten von Beweisen, die zur Identifizierung der jeweiligen Geister nützlich sein können.","Un esprit peut prendre différentes formes, il existe différents types d'esprits. Selon l'esprit que tu rencontres, ils peuvent avoir différentes caractéristiques, forces et faiblesses. Ils se déplacent dans la maison, il y a des endroits spécifiques où ils restent plus longtemps. Une sorte de point chaud de l'activité. Pendant qu'ils se déplacent, ils laissent différents types de preuves qui peuvent être utiles pour identifier les esprits concernés.","Un espíritu puede tomar varias formas, hay diferentes tipos de espíritus. Dependiendo del espíritu con el que te encuentres, pueden tener diferentes características, fortalezas y debilidades. Se mueven por la casa, hay lugares específicos donde se detienen más tiempo. Una especie de punto caliente de actividad. Mientras se desplazan, dejan diferentes tipos de evidencias que pueden ser útiles para identificar a los respectivos espíritus.","Дух може набувати різних форм, існує різні види духів. Залежно від того, з яким духом ви зустрінетеся, вони можуть мати різні характеристики, сили та слабкості. Вони переміщаються по будинку, є певні місця, де вони затримуються довше. Своєрідний гарячий пункт активності. Поки вони пересуваються, залишають різні види доказів, які можуть бути корисними для ідентифікації відповідних духів.","Призрак может принимать разные формы, существуют разные виды призраков. В зависимости от того, с каким призраком вы столкнетесь, они могут иметь различные характеристики, сильные и слабые стороны.

Они перемещаются по дому, есть определенные места, где они задерживаются дольше. Своего рода горячие точки активности.

Пока они перемещаются, они оставляют различные виды доказательств, которые могут быть полезны для идентификации соответствующих призраков.",幽霊は様々な形を取ることができます。幽霊にはいくつかの種類があります。出会う幽霊によって、彼らは異なる特性、強さ、弱点を持っています。彼らは家の中を動き回り、より長く滞在する特定の場所があります。活動のホットスポットのようなものです。彼らが移動する間、彼らは幽霊を特定するのに役立つ様々な種類の証拠を残します。,一个鬼魂可以采取不同的形式，有不同类型的鬼魂。根据你遇到的鬼魂，它们可以具有不同的特性、优点和缺点。它们在房子里移动，有些地方它们会停留更久。这些地方是活动的热点。当它们四处游荡时，它们会留下不同类型的证据，这些证据可以用来识别不同的鬼魂。,"유령은 다양한 형태를 취할 수 있으며, 유령의 종류도 여러 가지가 있습니다. 만나는 유령에 따라 그들은 다양한 특성, 강점 및 약점을 가질 수 있습니다. 그들은 집 안을 돌아다니며, 더 오래 머무르는 특정 장소들이 있습니다. 활동의 핫스팟이라고 할 수 있는 곳입니다. 돌아다니면서 그들은 다양한 종류의 증거를 남기며, 이것은 각각의 유령을 식별하는데 유용할 수 있습니다."
guide_name_1,Tools,Werkzeuge,outils,herramientas,інструменти,инструменты,道具,工具,도구
guide_info_1,"There are several tools to help you identify the ghost.

With the UV tool you can see things that you cannot see with normal light, there are footprints and fingerprints. If these are detected, they are UV evidence.

With the EMF Tool it is possible to see if the ghost is in the room. The camera is offline during the process, which means that the electrical radiation from the camera does not affect the EMF. EMF can indicate all kinds of activities. Tip: If the EMF is 2 while you are on the EMF screen, chances are good that the ghost is in the room.

With the Temperature Tool it is possible to measure the temperature at the spot you are pointing at. A temperature below freezing is a evidence.

With the Voice tool it is possible to communicate with the ghost without speaking into the microphone, if the ghost answers, this is a evidence.","Es gibt mehrere Werkzeuge, die dir helfen können, den Geist zu identifizieren.

Mit dem UV-Werkzeug kannst du Dinge sehen, die du mit normalem Licht nicht sehen kannst, wie Fußabdrücke und Fingerabdrücke. Wenn diese entdeckt werden, sind es UV-Beweise.

Mit dem EMF-Werkzeug ist es möglich zu erkennen, ob der Geist im Raum ist. Die Kamera ist während des Vorgangs offline, was bedeutet, dass die elektrische Strahlung der Kamera das EMF nicht beeinflusst. EMF kann alle Arten von Aktiviäten anzeigen. Tipp: Wenn das EMF 2 anzeigt, während du auf dem EMF-Bildschirm bist, stehen die Chancen gut, dass der Geist im Raum ist.

Mit dem Temperaturwerkzeug ist es möglich, die Temperatur an der Stelle, auf die du zeigst, zu messen. Eine Temperatur unter dem Gefrierpunkt ist ein Beweis.

Mit dem Sprachwerkzeug ist es möglich, mit dem Geist zu kommunizieren, ohne ins Mikrofon zu sprechen. Wenn der Geist antwortet, ist dies ein Beweis.","Il existe plusieurs outils qui peuvent t'aider à identifier l'esprit.

Avec l'outil UV, tu peux voir des choses que tu ne peux pas voir avec une lumière normale, comme des empreintes de pas et des empreintes digitales. Lorsque celles-ci sont détectées, ce sont des preuves UV.

Avec l'outil EMF, il est possible de détecter si l'esprit est dans la pièce. La caméra est hors ligne pendant le processus, ce qui signifie que le rayonnement électrique de la caméra n'affecte pas l'EMF. L'EMF peut montrer tous types d'activités. Astuce : Si l'EMF indique 2 pendant que tu es sur l'écran EMF, il y a de bonnes chances que l'esprit soit dans la pièce.

Avec l'outil de température, il est possible de mesurer la température à l'endroit que tu pointes. Une température sous le point de congélation est une preuve.

Avec l'outil vocal, il est possible de communiquer avec l'esprit sans parler dans le microphone. Si l'esprit répond, c'est une preuve.","Hay varias herramientas que pueden ayudarte a identificar al fantasma.

Con la herramienta UV puedes ver cosas que no puedes ver con luz normal, como huellas y huellas dactilares. Si estos son descubiertos, son evidencias UV.

Con la herramienta EMF es posible detectar si el fantasma está en la habitación. La cámara está fuera de línea durante el proceso, lo que significa que la radiación eléctrica de la cámara no afecta al EMF. EMF puede mostrar todo tipo de actividades. Consejo: Si el EMF muestra 2 mientras estás en la pantalla del EMF, hay buenas posibilidades de que el fantasma esté en la habitación.

Con la herramienta de temperatura es posible medir la temperatura en el lugar al que apuntas. Una temperatura bajo el punto de congelación es una evidencia.

Con la herramienta de voz es posible comunicarse con el fantasma sin hablar en el micrófono. Si el fantasma responde, esto es una evidencia.","Існує кілька інструментів, які можуть допомогти тобі ідентифікувати привида. За допомогою УФ-інструменту ти можеш бачити речі, які не видно звичайним світлом, такі як відбитки ніг та пальців. Якщо це виявлено, то це УФ-докази. За допомогою інструменту ЕМП можна визначити, чи є привид у кімнаті. Камера в цей час вимкнена, що означає, що електричне випромінювання камери не впливає на ЕМП. ЕМП може показувати всі типи активності. Порада: якщо ЕМП показує 2, коли ти дивишся на екран ЕМП, шанси великі, що привид у кімнаті. З інструментом для вимірювання температури можна визначити температуру в місці, на яке ти вказуєш. Температура нижче точки замерзання є доказом. За допомогою інструменту для спілкування можна спілкуватися з привидом, не користуючись мікрофоном. Якщо привид відповідає, це доказ.","Есть несколько инструментов, которые могут помочь идентифицировать призрака. С помощью УФ-инструмента вы можете видеть вещи, которые не видны при обычном свете, например отпечатки ног и пальцев. Если эти следы обнаружены, это УФ-доказательства. С помощью инструмента ЭМП можно определить, присутствует ли призрак в помещении. Камера в это время отключена, что означает, что электрическое излучение камеры не влияет на ЭМП. ЭМП может показывать все виды активности. Совет: если ЭМП показывает 2, когда вы находитесь на экране ЭМП, шансы хороши, что призрак находится в комнате. С помощью температурного инструмента можно измерить температуру в месте, на которое вы указываете. Температура ниже точки замерзания является доказательством. С помощью голосового инструмента можно общаться с призраком, не говоря в микрофон. Если призрак отвечает, это доказательство.",いくつかのツールが霊を特定するのを助けることができます。UVツールやEMFリーダーなどがあります。,有多种工具可以帮助你确定鬼魂的类型，例如UV灯、EMF读数器等。,여러 가지 도구가 귀신을 확인하는 데 도움을 줄 수 있습니다. 예를 들어 UV 도구와 EMF 리더 등이 있습니다.
guide_name_2,Exorcism,Exorzismus,exorcisme,exorcismo,екзорцизм,экзорцизм,エクソシズム,驱魔,퇴마
guide_info_2,"Exorcism is a process in which you free the ghost.

In order to free the ghost you must first know what kind of ghost it is, after you have selected the ghost it is now possible to exorcise the ghost. Here you must first select the room where the ghost is at the moment, this is important because otherwise the process will fail.

If everything goes perfectly, the ghost is now freed and the house is clear.

If not, well...","Exorzismus ist ein Prozess, bei dem du den Geist befreist.

Um den Geist zu befreien, musst du zunächst wissen, um welche Art von Geist es sich handelt. Nachdem du den Geist ausgewählt hast, ist es nun möglich, den Exorzismus durchzuführen. Hierbei musst du zuerst den Raum auswählen, in dem sich der Geist gerade befindet. Dies ist wichtig, denn sonst wird der Prozess scheitern.

Wenn alles perfekt verläuft, ist der Geist nun befreit und das Haus ist klar.

Wenn nicht, nun ja...","L'exorcisme est un processus où tu libères l'esprit. Pour libérer l'esprit, tu dois d'abord savoir de quel type d'esprit il s'agit. Après avoir choisi l'esprit, il est maintenant possible de réaliser l'exorcisme. Ici, tu dois d'abord choisir la pièce où se trouve actuellement l'esprit. Cela est important, car sinon le processus échouera. Si tout se passe parfaitement, l'esprit est maintenant libéré et la maison est claire. Sinon, eh bien...","El exorcismo es un proceso mediante el cual liberas el espíritu. Para liberar el espíritu, primero debes saber qué tipo de espíritu es. Después de haber seleccionado el espíritu, ahora es posible realizar el exorcismo. En este punto, primero debes seleccionar la habitación en la que se encuentra el espíritu. Esto es importante, de lo contrario, el proceso fallará. Si todo va perfectamente, el espíritu ahora está liberado y la casa está clara. Si no, bueno...","Екзорцизм — це процес, під час якого ти звільняєш дух. Щоб звільнити дух, спочатку потрібно знати, якого роду цей дух. Після вибору духа, тепер можливо провести екзорцизм. При цьому спочатку потрібно вибрати кімнату, в якій знаходиться дух. Це важливо, інакше процес провалиться. Якщо все пройде ідеально, дух тепер звільнений і будинок чистий. Якщо ні, ну... знаєте.","Экзорцизм - это процесс, при котором вы освобождаете дух. Чтобы освободить дух, сначала вы должны знать, какого рода это дух. После того, как вы выбрали духа, теперь возможно провести экзорцизм. Здесь вам нужно сначала выбрать комнату, в которой находится дух. Это важно, иначе процесс потерпит неудачу. Если все проходит идеально, дух теперь освобожден, и дом чист. Если нет, ну...",エクソシズムは霊を解放するプロセスです。霊を解放するためには、まずどのような種類の霊かを知る必要があります。霊を選択した後、エクソシズムを行うことができます。この際、まず霊が現在いる部屋を選ぶ必要があります。これは重要です、そうしなければプロセスは失敗します。すべてが完璧に進んだ場合、霊は解放され、家はクリアです。そうでなければ、まあ...,驱魔是一个解放精神的过程。要释放精神，你首先需要知道这是什么类型的精神。选择了精神后，现在可以进行驱魔。在这里，你首先需要选择精神所在的房间。这很重要，否则过程将失败。如果一切顺利，精神现在将被释放，房子也将是清晰的。如果不是，那么，嗯...,"퇴마는 영혼을 해방시키는 과정입니다. 영혼을 해방하기 위해서는 먼저 어떤 종류의 영혼인지 알아야 합니다. 영혼을 선택한 후에는 이제 퇴마를 진행할 수 있습니다. 이때 먼저 영혼이 있는 방을 선택해야 합니다. 이는 중요한데, 그렇지 않으면 과정이 실패할 것입니다. 모든 것이 완벽하게 진행되면, 이제 영혼은 해방되고 집은 깨끗해집니다. 그렇지 않다면, 글쎄요..."
daily_0,Detect the ghost type,Den Geistertyp erkennen,Reconnaître le type Spectre,Reconocer el tipo fantasma,розпізнавати привидів,опознать призрачного типа,ゴーストタイプを認識する,识别幽灵类型,유령 유형을 인식하다
daily_1,Find evidence of murder,Finden Sie Beweise für einen Mord,Trouvez des preuves d'un meurtre,Encuentren pruebas de un asesinato,Знайдіть докази вбивства,Найдите доказательства убийства,殺人の証拠を見つけてください,找到谋杀的证据,살인 증거를 찾으세요
daily_2,Take 3 convincing pictures,Machen Sie 3 Überzeugende Fotos,Faites 3 photos convaincantes,Haga 3 fotos convincentes,Зробіть 3 переконливі фотографії,Сделайте 3 убедительных фотографии,説得力のある3枚の写真を撮ってください,拍3张有说服力的照片,설득력 있는 사진 3장을 찍으세요.
daily_3,Exorcise correctly,Korrekt exorzieren,exorciser correctement,exorcizar correctamente,правильно виконувати екзорцизм,Правильно изгонять,正しくエクソシズムを行う,正确驱魔,올바르게 퇴마하다
daily_4,Beat a game without upgrades,Ein Spiel ohne Upgrades schaffen,Créer un jeu sans améliorations,Completar un juego sin mejoras,Пройти гру без апгрейдів,Пройти игру без апгрейдов,アップグレードなしでゲームをクリアする,完成一个没有升级的游戏,업그레이드 없이 게임을 완성하다
daily,Daily,Täglich,quotidien,diariamente,щодня,ежедневно,毎日,每天,매일
mission_name_4,Backrooms,Backrooms,Arrière-salles,Habitaciones traseras,Тилі,Задние комнаты,バックルーム,背室,백룸
mission_info_4,"Mysterious maze of corridors with dim lighting and potential hazards. Exit doors and caution zones scattered throughout. Hostile entities, and psychological distress. Location and purpose unknown. Extreme caution advised.",Ein mysteriöses Labyrinth aus Korridoren mit schwacher Beleuchtung und potenziellen Gefahren. Ausgangstüren und Vorsichtszonen sind überall verteilt. Feindselige Wesenheiten und psychologischer Stress sind vorhanden. Ort und Zweck unbekannt. Besondere Vorsicht ist geboten.,Un labyrinthe mystérieux de couloirs faiblement éclairés et de dangers potentiels. Des portes de sortie et des zones de prudence sont dispersées partout. Des entités hostiles et un stress psychologique sont présents. Lieu et but inconnus. Une prudence particulière est requise.,Un misterioso laberinto de corredores con iluminación tenue y peligros potenciales. Puertas de salida y zonas de precaución están distribuidas por todas partes. Entidades hostiles y estrés psicológico están presentes. Lugar y propósito desconocidos. Se requiere especial precaución.,Таємничий лабіринт коридорів зі слабким освітленням та потенційними небезпеками. Двері виходу та зони обережності розподілені скрізь. Ворожі сутності та психологічний стрес присутні. Місце і мета невідомі. Особлива обережність необхідна.,Таинственный лабиринт коридоров с тусклым освещением и потенциальными опасностями. Двери выхода и зоны осторожности разбросаны повсюду. Враждебные сущности и психологический стресс присутствуют. Место и цель неизвестны. Особая осторожность необходима.,弱い照明と潜在的な危険がある神秘的な迷路の回廊。出口の扉と注意区域は至る所に分散しています。敵対的な存在と心理的ストレスが存在します。場所と目的は不明です。特別な注意が必要です。,一个充满神秘的迷宫，有着昏暗的走廊和潜在的危险。出口门和警戒区域随处可见。有敌对实体和心理压力存在。地点和目的未知。需要特别小心。,조명이 약한 복도로 이루어진 수수께끼의 미로와 잠재적인 위험들. 출구 문과 주의 구역들이 곳곳에 퍼져있다. 적대적인 존재들과 심리적 스트레스가 존재한다. 장소와 목적은 알 수 없다. 특별한 주의가 요구된다.
possible_evidence,Possible evidence,Mögliche Beweise,Preuves possibles,Pruebas posibles,можливі докази,возможные доказательства,可能な証拠,可能的证据,가능한 증거
choose_evidence,Choose your evidence,Wähle deinen Beweis,Choisissez votre preuve,Elija su prueba,Оберіть свій доказ,Выберите ваше доказательство,証拠を選んでください,选择您的证据,증거를 선택하세요
evidence,Evidence,Beweise,preuves,pruebas,докази,доказательства,証拠,证据,증거
ghost_information,Ghost Information,Geister Informationen,informations sur les fantômes,Información de fantasmas,інформація про привидів,Информация о призраках,ゴースト情報,鬼的信息,유령 정보
select_home,Select and Go home,Auswählen und nach Hause gehen,Choisir et rentrer à la maison,Seleccionar e ir a casa,Обрати і йти додому,Выбрать и идти домой,選択して家に帰る,选择并回家,선택하고 집에 가다
uv_evidence,UV evidence,UV-Nachweis,preuve UV,prueba de UV,УФ-виявлення,УФ-детектор,UV証明,紫外线检测,자외선 증명
laser,Laser,Laser,laser,láser,лазер,лазер,レーザー,激光,레이저
orbs,Orbs,Geisterkugeln,orbes,balas fantasma,привиди-кульки,призрачные шары,ゴーストボール,鬼魂球,유령 구슬
voice,Voice,Stimme,voix,voz,голос,голос,声,声音,목소리
throwing,Throwing,Werfen,jeter,lanzar,кидати,бросать,投げる,投掷,던지다
freezing,Freezing,Gefrieren,geler,congelar,замерзати,замерзать,凍る,冻结,얼다
uv_light,UV,UV,UV,UV,УФ,УФ,紫外,紫外,자외선
breaker,Power box,Stromkasten,boîte électrique,caja eléctrica,електрощиток,электрощит,配電盤,电箱,전기 상자
screen,Screen,Bildschirm,écran,pantalla,екран,экран,画面,屏幕,화면
door,Door,Tür,porte,puerta,двері,дверь,ドア,门,문
cam,CAM,CAM,APP,CÁM,КАМ,КАМ,カメラ,凸轮,캠
spot_temperature,Temperature,Temperatur,température,temperatura,температура,температура,温度,温度,온도
picture,Picture,Foto,photo,foto,фото,фото,写真,照片,사진
ghost_detection,Ghost Detection System,System der Geistererkennung,système de détection des fantômes,sistema de detección de fantasmas,система виявлення привидів,система обнаружения призраков,ゴースト検出システム,鬼魂识别系统,유령 감지 시스템
processing_data,Processing data...,Datenverarbeitung…,traitement des données,procesamiento de datos,обробка даних,обработка данных,データ処理,数据处理,데이터 처리
maled_detection,Malfunction! Please reset the power supply.,Störung! Bitte setzen Sie die Stromversorgung zurück.,Perturbation ! Veuillez réinitialiser l'alimentation électrique.,"¡Interrupción! Por favor, restablezca la alimentación eléctrica.","Збій! Будь ласка, перезавантажте живлення.","Сбой! Пожалуйста, перезагрузите питание.",障害です！電源をリセットしてください。,故障！ 请重新设置电源。,장애 발생! 전원을 리셋하십시오.
maled_cam,- Video malfunction -,"""- Video-Fehlfunktion -""",Défaillance vidéo,malfunción de vídeo,відео-збій,Видео-неисправность,ビデオ故障,视频故障,비디오 오작동
transmitting,Transmitting...,Übertragung…,transfert,transmisión,передача,передача,伝送,传输,전송
start_next,Start next,Nächste Mission,Prochaine mission,Próxima misión,Наступна місія,Следующая миссия,次のミッション,下一个任务,다음 임무
main_menu,Main menu,Hauptmenü,Menu principal,Menú principal,головне меню,главное меню,メインメニュー,主菜单,메인 메뉴
booting_detection,booting...,booten …,démarrer,arrancar,завантажувати,загружать,ブートする,启动,부팅하다
close_door_detection,Please close the door.,Bitte schließen Sie die Tür.,Veuillez fermer la porte.,"Por favor, cierra la puerta.","Будь ласка, закрийте двері.","Пожалуйста, закройте дверь.",ドアを閉めてください。,请关门。,문을 닫아 주세요.
detection_hide,Detecting hunt! Turn off electricity and hide!,Geist erkannt! Strom ausschalten und verstecken!,Esprit détecté ! Couper le courant et se cacher !,¡Entidad detectada! ¡Apaga la electricidad y escóndete!,Привид виявлено! Вимкніть струм і сховайтесь!,Дух обнаружен! Отключите электричество и прячьтесь!,幽霊を感知！電気を消して隠れて！,发现幽灵！关闭电源并隐藏！,유령 감지! 전기를 끄고 숨어라!
light,Light,Licht,lumière,luz,світло,свет,光,光,빛
buy,Buy,Kaufen,acheter,comprar,купувати,купить,買う,购买,사다
equipped,Equipped,Ausgestattet,équipé,equipado,оснащений,оснащенный,装備された,装备,장착된
unequipped,Unequipped,Unausgestattet,non équipé,desprovisto,нееукомплектований,неснаряженный,装備されていない,未装备,장비를 갖추지 않은
upgrade_name_0,More memory,Mehr Speicher,plus de mémoire,más almacenamiento,більше пам'яті,Больше памяти,もっとメモリを,更多存储,더 많은 저장공간
upgrade_name_1,Faster movement,Schnellere Bewegung,Mouvement plus rapide,movimiento más rápido,швидший рух,быстрое движение,より速い動き,更快的移动,더 빠른 움직임
upgrade_name_2,Advanced detection,Erweiterte Erkennung,détection avancée,detección avanzada,розширене розпізнавання,расширенное распознавание,拡張認識,扩展识别,확장된 인식
upgrade_name_3,EMF5 Sound,EMF5 Ton,son EMF5,Sonido EMF5,EMF5 тон,тон,EMF5 音,EMF5声音,EMF5 소리
upgrade_name_4,Faster exorcism,Schnellerer Exorzismus,exorcisme plus rapide,Exorcismo más rápido,швидший екзорцизм,быстрый экзорцизм,より速いエクソシズム,更快的驱魔,더 빠른 퇴마
hint_1,Note: Check the door regularly,Hinweis: Prüfen Sie die Tür regelmäßig,Conseil : Vérifiez la porte régulièrement,Consejo: Revise la puerta regularmente,Підказка: Регулярно перевіряйте двері,Совет: Регулярно проверяйте дверь,ヒント: ドアを定期的にチェックしてください,提示：定期检查门,힌트: 문을 정기적으로 점검하세요
loading,loading...,Laden…,Chargement…,Cargando…,завантаження…,загрузка…,読み込み中…,加载中…,로딩중…
language_0,Language: English,Sprache: Englisch,Langue : Anglais,Idioma: Inglés,Мова: англійська,Язык: Английский,言語：英語,语言：英语,언어: 영어
language_1,Language: German,Sprache: Deutsch,Langue: Allemande,Idioma: Alemán,Мова: Німецька,язык: немецкий,言語：ドイツ語,语言：德语,언어: 독일어
emf_scanner,EMF Scanner,EMF-Scanner,scanner EMF,Escáner EMF,Сканер ЕМП,емф-сканер,EMFスキャナー,电磁场扫描仪,EMF 스캐너
emf_offline,Camera is offline while scanning for EMF,Kamera ist während des EMF-Scans offline,La caméra est hors ligne pendant le scan EMF,La cámara está fuera de línea durante el escaneo EMF,Камера вимкнена під час сканування ЕМП,Камера не работает во время сканирования ЭМП,EMFスキャン中、カメラはオフラインです,EMF扫描期间相机离线,EMF 스캔하는 동안 카메라가 오프라인입니다
daily_tasks,Daily Tasks,Tägliche Aufgaben,Tâches quotidiennes,tareas diarias,щоденні завдання,ежедневные задачи,日々の任務,每日任务,일일 임무
select_ghost,Select ghost,Geist auswählen,choisir l'esprit,elegir espíritu,вибрати дух,выбрать дух,ゴーストを選ぶ,选择精神,유령 선택
no_possible_ghost,No possible ghost,Kein möglicher Geist,Aucun esprit possible,Ningún espíritu posible,Жоден можливий дух,Нет возможного разума,可能性のない精神,没有可能的精神,불가능한 정신
microphone,Microphone,Mikrofon,microphone,micrófono,мікрофон,микрофон,マイクロフォン,麦克风,마이크
mission_data,Mission data,Daten der Mission,Données de la mission,Datos de la misión,дані місії,Данные миссии,ミッションのデータ,任务数据,임무 데이터
upgrades,Upgrades,Aufrüstungen,améliorations,mejoras,модернізації,модернизации,アップグレード,升级,업그레이드
